tale;sentiment_mean
Tak for det. Jeg vil sige, at det faktisk er pudsigt at høre de her debatter, for de fleste politikere, herunder også ministeren, starter jo sådan set med at erklære sig enige i meget af det, som vi siger fra Dansk Folkepartis side, og så kan man alligevel ikke støtte det. Det undrer mig altid. I forhold til det her med, om man kan det i forhold til Den Europæiske Menneskerettighedskonvention, må man bare sige, at man jo har det i andre lande, bl.a. i Frankrig – der kan man kigge på hvordan de gør det. I Østrig er man også på vej med noget. Så jeg mener, at det her helt klart kan lade sig gøre inden for Den Europæiske Menneskerettighedskonvention. Det er den politiske vilje, det handler om. I forhold til om det skulle være i strid med grundloven vil jeg sige, at vi jo i dag har et forbud i vores retssystem, der minder om det her, over for juridiske dommere. Det er indrettet på en lidt anden måde, men det handler sådan set også om, at markante religiøse symboler må man ikke bære. Så det her kan selvfølgelig rummes inden for konvention og grundlov. Og når nu vi ved det, kunne det så ikke være, at ministeren alligevel havde lyst til at støtte forslaget, fordi ministeren tilsyneladende er enig med Dansk Folkeparti i, at man selvfølgelig ikke skal bære de her meget markante religiøse symboler i folkeskolen? Sådan forstod jeg i hvert fald det, ministeren sagde.;0,350762527
Nej!;-3
Nej, jeg har ikke mere. Tak.;-3
Tak. Jeg vil gerne fortsætte, hvor hr. Martin Henriksen slap med hensyn til social dumping. Altså, Socialdemokraterne har jo på en eller anden måde accepteret det inden for EU, og nu er man så også i gang i forhold til et område af kongeriget, som ikke er medlem af EU. Jeg bemærkede, at ordføreren brugte udtrykket, at det er meget isoleret. Så det er altså det, der er det afgørende – at det her er isoleret, og ellers er det ligegyldigt. Altså, Læsø f.eks. er jo meget isoleret ude i Kattegat, og kunne man godt forestille sig sådan et storskalaprojekt derude, fordi det sådan er isoleret? Er det ikke bare sagen, at det her er noget, der foregår inden for kongerigets grænser, og så kan man ikke sige, bare fordi det ligger lidt afsides, at det er okay, men at hvis det lå tættere på noget andet, så var det ikke okay? Jeg har svært ved at se logikken i de der ord, at det her jo er meget isoleret.;0,350757576
Det vil glæde mig meget.;4
Jeg vil også glæde mig.;4
Det er ikke dårligt husket af ordføreren.;4
Tak for det. Jeg synes faktisk, det er en rigtig interessant diskussion, der kommer ud af det her, og det gør jeg, fordi jeg jo i høj grad anerkender, at den konservative ordfører faktisk står fast på de konservative grundprincipper, i forhold til hvordan det er, vi ser mennesket, og at det ligesom er udgangspunktet for politikken på området i det her. Det må man jo anerkende, om man så er enig eller ej. Man må anerkende, at det er De Konservatives position. Men jeg kunne bare godt tænke mig at spørge om noget, for vi talte lidt om signalværdi versus virkelighed: Hvis vi nu forestillede os en situation, hvor det viste sig, at antallet af dødsfald, i forhold til hvad vi har nu, f.eks. eksploderede med den linje, vi har nu – og vi kan gå til Portugal og se, at der falder antallet, og det er jo også, kan man sige, et udtryk for hensynet til det enkelte menneske – kunne man så forestille sig, at De Konservative kunne flytte sig på noget tidspunkt på lige præcis det her område?;0,350763889
Jeg er glad for meldingen. Tak.;3,75
Jeg takker for svaret, men nu skal ordføreren jo ikke bestemme, hvad det er, vi debatterer her i Folketinget. Det er mig bekendt et folkestyre, vi har i Danmark, og vi tager udgangspunkt i det lovforslag, som ministeren velvilligt har fremsendt. Og vi må bare konstatere, at der med det her lovforslag er tale om, at man tager en suverænitet væk fra den danske befolkning. Man giver en kompetence til et almindeligt simpelt flertal her i Folketinget, hvis det bliver et ja den 3. december. Derfor er det en afskaffelse af et forbehold. Så prøver ordføreren at gøre sig festlig i forhold til at lave en ny definition af, hvad et forbehold er. Altså, ordføreren kan ikke komme her en højhellig tirsdag eftermiddag og påstå, at det her ikke er et forbehold, der bliver fjernet. Det er det da så sandelig, og det håber jeg også at fru Trine Bramsen vil anerkende, altså at når man fjerner et forbehold og så gør det til noget andet, er det selvfølgelig en fjernelse af et forbehold.;0,350775194
Jeg er meget glad for, at SF's ordfører er enig med Venstre i, at også de mindre og små statsanerkendte museer har en mission og har en robusthed, både fagligt og på anden måde, til at kunne klare de opgaver, de skal klare. Og det er jo lige præcis dér, vi så ikke kan forstå det her lovforslag, f.eks. det med, at der nu skal være en ph.d. ansat. Det kunne jo i sig selv være udmærket, hvis der så bare kom penge med. Men der kommer ingen penge med, og det betyder, at der nu er en række museer, der skal ud og foretage fyringer blandt det personale, de har i forvejen, for at få råd til at ansætte en ph.d. for at kunne bestå fremover som museum. Synes SF's ordfører ikke, det er forkert, at museerne nu bliver tvunget ud i en fyringsrunde?;0,350757576
Det tror jeg ville være synd at sige at der er.;-3
Hvis vi kigger på kontanthjælpsområdet, ser vi, at 7 ud af 10 kontanthjælpsmodtagere er enlige, og for dem vil der være et, mener jeg, fornuftigt økonomisk incitament til at gå på arbejde. Der, hvor vi har sammenspilsproblemer, er typisk der, hvor der enten er et ægtefællespørgsmål og/eller – ofte er det og – en forsørgerpligt. Jeg tror bare, man skal prøve at tage den her diskussion lidt udramatisk. Ja, at det skal kunne betale sig at arbejde, skal vi forsøge at fremme via de reformer, vi skal til at gå i gang med, men samtidig er der jo en grund til, at det heller ikke for den tidligere regering lykkedes at komme af med sammenspilsproblemerne. Og det hænger jo altså sammen med, at når der er et forsørgeransvar, får man også en højere kontanthjælpsydelse, fordi man ikke kun er ansvarlig for sig selv, men også skal kunne forsørge et barn eller måske flere, hvilket har nogle helt konkrete følger i dagligdagens økonomi, og som også har betydning for, hvor stor en bolig man skal have, og hvilke leveomkostninger man i det hele taget skal have. Så man kan sige, at min tilgang er, og det er også regeringens, at ja, det skal kunne betale sig at arbejde, men vi erkender, at der er nogle sammenspilsproblemer, som er svære at løse, og derfor er det nødvendigt med reformer.;0,350783476
Nej.;-2,5
Det glæder vi os til.;4
Tak for det. Der er så utrolig mange danske arbejdspladser og danske virksomheder, der er afhængige af vores EU-medlemskab og af, at der er styr på økonomien, og at vi også laver investeringerne rigtigt. Derfor står vi bag det mandat, der er givet. Det er dermed ikke sagt, at jeg så foruddiskonterer, at statsministeren kun vil få ros, når hun kommer tilbage og har lavet en aftale, for det kommer an på, hvordan det går. Men jeg synes, at vi skal tage hver ting til sin tid, hver kamp til sin tid.;0,350766284
Nej!;-3.225
Det ser vi ikke noget problem i.;4
Jamen det er godt at høre. Og jeg er jo helt enig. Det er jo derfor, vi foreslår en kollektiv ordning, hvor vi simpelt hen siger, at vi jo ikke kan udpege den enkelte landmand – og den enkelte landmand skal ikke holdes direkte ansvarlig – men at vi jo godt kan lave en brancheordning, ligesom man gjorde med olieforurening og det, der hedder oliebranchens miljøpulje. Der sagde man, at der er nogle tankstationer, hvor der er olieforureninger, men for at den enkelte tankbestyrer ikke skal afholde den udgift, så laver man en kollektiv ordning, hvor branchen samler ind til en stor kasse, og så er det den store kasse, der betaler. Så det er en kasse, der er lidt tættere på problemskaberne, end den er i dag, hvor det er forbrugerne, der skal betale.;0,350766284
No problem.;-4
Jeg skal bare sige, at man manipulerer, når man, som hr. Joachim B. Olsen og de andre ordførere gjorde det tidligere på eftermiddagen, siger, at rådighedsbeløbet på 17.400 kr. ikke er manipulation, og at det er før boligudgifter, for det er overhovedet ikke sammenligneligt med de andre tal, vi har brugt i hele den her debat, og de tal, som fremgår af ministerens svar på spørgsmål nr. 63. Så jeg vil gerne bede LA's ordfører – når nu ordføreren får ordet igen, og ellers kan vi jo gøre det senere – bekræfte, at han er enig med beskæftigelsesministeren i den opgørelse af rådighedsbeløbene, som står i svaret på spørgsmål nr. 63, og hvoraf jeg nævnte de vigtigste beløb i min ordførertale.;0,350783476
Den farve er så smuk.;4
Nej.;-2,5
Den kriminelle lavalder er jo 15 år, og derfor er det 15-17-årige, det her vedrører.;-3
Det er jeg glad for.;4
Jeg har ikke markeret. Det er en fejl, hvis jeg er blevet registreret for det.;-3
Det glæder mig.;4
Tak. Som også nævnt under ordførertalen er det faktisk på mange punkter gode forslag til modernisering af, hvad der sker hos domstolene, vi behandler her i dag. Selvfølgelig er det, som De Konservative var inde på, lidt sent, at forslaget er kommet, men nu må vi se, om vi kan nå at få det igennem. Jeg mener ikke, at man skal give nogen garantier for, at Folketinget kan nå at færdigbehandle det her, og jeg vil godt lige høre ministeren, om ministeren ikke er enig i, at der jo kan være ting, der skal opklares så meget i dybden, at det kan være nødvendigt at skubbe forslaget, når det er kommet så forholdsvis sent. Det var det ene. Det andet er i forhold til domstolene og beløbsgrænsen. Kan ministeren fortælle, hvad ministerens begrundelse for at forhøje beløbsgrænsen er? Alt andet lige vil det jo betyde, at borgeren bliver stillet ringere i forhold til at kunne rejse sager ved landsretten, når man sætter det her beløb op.;0,350740741
Jamen det glæder jeg mig til.;4
Nej.;-2,5
