full_name;party_1;party_2
Inger Støjberg;V;
Bertel Haarder;V;
Tina Nedergaard;V;
Troels Lund Poulsen;V;
Claus Hjort Frederiksen;V;
Gitte Lillelund Bech;V;
Karen Ellemann;V;
Brian Mikkelsen;KF;
Lars Løkke Rasmussen;V;
Hans Christian Schmidt;V;
Lene Espersen;KF;
Per Stig Møller;KF;
Helge Sander;V;
Birthe Rønn Hornbech;V;
Connie Hedegaard;KF;
Kristian Jensen;V;
Eva Kjer Hansen;V;
Jakob Axel Nielsen;KF;
Søren Gade;V;
Carina Christensen;KF;
Lykke Friis;V;
Lars Barfoed;KF;
Ulla Tørnæs;V;
Benedikte Kiær;KF;
Charlotte Sahl-Madsen;KF;
Henrik Høegh;V;
Søren Pind;V;
Peter Christensen;V;
Bjarne Corydon;V;
Thor Möger Pedersen;SF;
Ole Sohn;SF;
Helle Thorning-Schmidt;S;
Margrethe Vestager;RV;
Villy Søvndal;SF;
Morten Bødskov;S;
Carsten Hansen;S;
Mette Frederiksen;S;
Christine Antorini;S;
Mette Gjerskov;S;
Astrid Krag;SF;S
Manu Sareen;RV;
Ida Auken;SF;
Morten Østergaard;RV;
Nicolai Wammen;S;
Henrik Dam Kristensen;S;
Nick Hækkerup;S;
Christian Friis Bach;RV;
Karen Hækkerup;S;
Uffe Elbæk;RV;
Martin Lidegaard;RV;
Pia Olsen Dyhr;SF;
Holger K. Nielsen;SF;
Annette Vilhelmsen;SF;
Marianne Jelved;RV;
Benny Engelbrecht;S;
Henrik Sass Larsen;S;
Rasmus Helveg Petersen;RV;
Jonas Dahl;SF;
Dan Jørgensen;S;
Sofie Carsten Nielsen;S;
Magnus Heunicke;S;
Kirsten Brosbøl;S;
Mogens Jensen;S;
Karsten Lauritzen;V;
Jørn Neergaard Larsen;V;
Sophie Løhde;V;
Esben Lunde Larsen;V;
Lars Christian Lilleholt;V;
Ellen Trane Nørby;V;
Søren Pape Poulsen;KF;
Simon Emil Ammitzbøll;LA;
Mai Mercado;KF;
Mette Bock;LA;
Ole Birk Olesen;LA;
Merete Riisager;LA;
Anders Samuelsen;LA;
Thyra Frank;LA;
Jakob Ellemann-Jensen;V;
Simon Emil Ammitzbøll-Bille;LA;
Tommy Ahlers;V;
Rasmus Jarlov;KF;
Trine Bramsen;S;
Kaare Dybvad Bek;S;
Pernille Rosenkrantz-Theil;S;
Simon Kollerup;S;
Mattias Tesfaye;S;
Joy Mogensen;S;
Ane Halsboe-Jørgensen;S;
Lea Wermelin;S;
Peter Hummelgaard;S;
Rasmus Prehn;S;
Jeppe Kofod;S;
Kaare Dybvad;S;
Peter Hummelgaard Thomsen;S;
