full_name;gender
Aki-Matilda Høegh-Dam;1
Aleqa Hammond;1
Alex Ahrendtsen;0
Alex Vanopslagh;0
Anders G. Christensen;0
Anders Johansson;0
Anders Kronborg;0
Anders Samuelsen;0
Anders Stjernholm;0
Andreas Steenberg;0
Ane Halsboe-Jørgensen;1
Ane Halsboe-Larsen;1
Anita Christensen;1
Anita Knakkergaard;1
Anna Brændemose;1
Anna Kirsten Olesen;1
Anne Baastrup;1
Anne Grete Holmsgaard;1
Anne Honoré Østergaard;1
Anne Marie Geisler Andersen;1
Anne Paulin;1
Anne Sina;1
Anne Sophie Callesen;1
Anne Valentina Berthelsen;1
Anne-Marie Meldgaard;1
Anne-Mette Winther Christiansen;1
Annette Lind;1
Annette Vilhelmsen;1
Anni Matthiesen;1
Annika Smith;1
Astrid Carøe;1
Astrid Krag;1
Balder Mørk Andersen;0
Benedikte Kiær;1
Benny Engelbrecht;0
Bent Bøgsted;0
Bente Dahl;1
Bente Kronborg Holst;1
Bertel Haarder;1
Bilal Inekci;0
Birgitte Bergman;1
Birgitte Josefsen;1
Birgitte Vind;1
Birthe Rønn Hornbech;1
Bjarne Corydon;0
Bjarne Laustsen;0
Bjarni Hammer;0
Bjørn Brandenborg;0
Brian Mikkelsen;0
Brigitte Klintskov Jerkel;1
Britt Bager;1
Britta Schall Holberg;1
Bruno Jerup;0
Camilla Fabricius;1
Camilla Hersom;1
Carina Christensen;1
Carl Holst;0
Carl Valentin;0
Carolina Magdalene Maier;1
Carsten Bach;0
Carsten Hansen;0
Carsten Kissmeyer;0
Carsten Kudsk;0
Charlotte Broman Mølbæk;1
Charlotte Dyremose;1
Charlotte Sahl-Madsen;1
Christian Friis Bach;0
Christian H. Hansen;0
Christian Juhl;0
Christian Langballe;0
Christian Poll;0
Christian Rabjerg Madsen;0
Christina Egelund;1
Christine Antorini;1
Christoffer Aagaard Melson;0
Claus Hjort Frederiksen;0
Claus Kvist Hansen;0
Claus Larsen-Jensen;0
Colette L. Brix;1
Connie Hedegaard;1
Dan Jørgensen;0
Daniel Rugholm;0
Daniel Toft Jakobsen;0
Danny K. Malkowski;0
Dennis Flydtkjær;0
Doris Jakobsen;1
Dorthe Hindborg;1
Dorthe Ullemose;1
Edmund Joensen;0
Egil Hulgaard;0
Eigil Andersen;0
Ellen Trane Nørby;1
Emrah Tuncer;1
Erik Christensen;0
Erik Lund;0
Erika Lorentsen;1
Erling Bonnesen;0
Esben Lunde Larsen;0
Eva Flyvholm;1
Eva Kjer Hansen;1
Eyvind Vesselbo;0
Fatma Øktem;1
Finn Sørensen;0
Finn Thranum;0
Flemming Bonne;0
Flemming Damgaard Larsen;0
Flemming Møller;0
Flemming Møller Mortensen;0
Frank Aaen;0
Gitte Lillelund Bech;1
Gitte Willumsen;1
Halime Oguz;1
Hanne Agersnap;1
Hanne Bjørn-Klausen;1
Hans Andersen;0
Hans Christian Schmidt;0
Hans Christian Thoning;0
Hans Kristian Skibby;0
Hans Vestager;0
Heidi Bank;1
Helge Adam Møller;0
Helge Sander;0
Helge Vagn Jacobsen;0
Helle Dam;1
Helle Løvgreen Mølvig;1
Helle Osther Friedrichsen;1
Helle Sjelle;1
Helle Thorning-Schmidt;1
Henning Hyllested;0
Henriette Kjær;1
Henrik Brodersen;0
Henrik Dahl;0
Henrik Dam Kristensen;0
Henrik Høegh;0
Henrik Møller;0
Henrik Rasmussen;0
Henrik Sass Larsen;0
Holger K. Nielsen;0
Hüseyin Arac;0
Høgni Hoydal;0
Ib Poulsen;0
Ida Auken;1
Ida Damborg;1
Ina Strøjer-Schmidt;1
Inger Støjberg;1
Irene Simonsen;1
Jacob Bjerregaard;0
Jacob Jensen;0
Jacob Lund;0
Jacob Mark;0
Jakob Axel Nielsen;0
Jakob Ellemann-Jensen;0
Jakob Engel-Schmidt;0
Jakob Sølvhøj;0
Jan E. Jørgensen;0
Jan Erik Messmann;0
Jan Johansen;0
Jan Rytkjær Callesen;0
Jane Heitmann;1
Jens Arne Hedegaard;0
Jens Christian Lund;0
Jens Ejner Christensen;0
Jens Henrik Thulesen Dahl;0
Jens Joel;0
Jens Kirk;0
Jens Peter Vernersen;0
Jens Rohde;0
Jens Vibjerg;0
Jeppe Bruus;0
Jeppe Jakobsen;0
Jeppe Kofod;0
Jeppe Mikkelsen;0
Jesper Kiel;0
Jesper Langballe;0
Jesper Petersen;0
Jette Gottlieb;1
Joachim B. Olsen;0
Johan Lund Olsen;0
Johanne Schmidt-Nielsen;1
Johannes Lebech;0
John Dyrby Paulsen;0
Johs. Poulsen;0
Jonas Dahl;0
Josephine Fock;1
Joy Mogensen;1
Juliane Henningsen;1
Julie Rademacher;1
Julie Skovsby;1
Julius Graakjær Grantzau;0
Jørgen Arbo-Bæhr;0
Jørgen Poulsen;0
Jørgen S. Lundsgaard;0
Jørn Dohrmann;0
Jørn Neergaard Larsen;0
Kamal Qureshi;0
Karen Ellemann;1
Karen Hækkerup;1
Karen J. Klint;1
Karen Jespersen;0
Karen Touborg;1
Karin Gaardsted;1
Karin Nødgaard;1
Karina Adsbøl;1
Karina Due;1
Karina Lorentzen Dehnhardt;1
Karl H. Bornhøft;0
Karsten Hønge;0
Karsten Lauritzen;0
Karsten Nonbo;0
Kasper Krüger;0
Kasper Roug;0
Kasper Sand Kjær;0
Katarina Ammitzbøll;1
Kathrine Olldag;1
Katrine Robsøe;1
Kenneth Kristensen Berth;0
Kim Andersen;0
Kim Christiansen;0
Kim Mortensen;0
Kim Valentin;0
Kirsten Brosbøl;1
Kirsten Normann Andersen;1
Kisser Franciska Lehnert;1
Klaus Hækkerup;0
Klaus Markussen;0
Knud Kristensen;0
Kristen Touborg;1
Kristian Hegaard;0
Kristian Jensen;0
Kristian Pihl Lorentzen;0
Kristian Thulesen Dahl;0
Kurt Scheelsbeck;0
Kaare Dybvad;0
Kaare Dybvad Bek;0
Lars Aslan Rasmussen;0
Lars Barfoed;0
Lars Boje Mathiesen;0
Lars Christian Lilleholt;0
Lars Dohn;0
Lars Løkke Rasmussen;0
Lars-Emil Johansen;0
Laura Lindahl;1
Lea Wermelin;1
Leif Lahn Jensen;0
Leif Mikkelsen;0
Lene Espersen;1
Lene Foged;1
Lennart Damsbo-Andersen;0
Linda Kristiansen;1
Line Barfod;1
Lisbeth Bech Poulsen;1
Lise Bech;1
Lise von Seelen;1
Liselott Blixt;1
Liv Holm Andersen;1
Lone Dybkjær;1
Lone Loklindt;1
Lone Møller;1
Lotte Rod;1
Louise Schack Elholm;1
Lykke Friis;1
Mads Fuglede;0
Mads Rørvig;0
Magni Arge;0
Magnus Heunicke;0
Mai Henriksen;1
Mai Mercado;1
Mai Villadsen;1
Maja Panduro;1
Malene Søgaard-Andersen;1
Malou Lunderød;1
Malou Aamund;1
Malte Larsen;0
Manu Sareen;1
Marcus Knuth;0
Margrethe Vestager;1
Maria Reumert Gjerding;1
Marianne Bredal;1
Marianne Jelved;1
Marie Bjerre;1
Marie Krarup;1
Marion Pedersen;1
Marlene Ambo-Rasmussen;1
Marlene B. Lorentzen;1
